id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
10036,163695882,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/163695882/d?from=list,Sarrià - Sant Gervasi,Piso,Used,895000.0,30000.0,,3.0,152.0,4.0,1.0,,,,,,
10276,161946232,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/161946232/d?from=list,Eixample,Piso,Used,550000.0,,4.0,2.0,115.0,2.0,1.0,,,,,,
37952,165266189,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-zona-comunitaria-ascensor-se-aceptan-mascotas-no-amueblado/165266189/d?from=list,Gràcia,Piso,Used,290000.0,,2.0,1.0,58.0,2.0,1.0,,,,,,
12303,163663441,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/163663441/d?from=list,Eixample,Piso,Used,299000.0,,3.0,1.0,78.0,5.0,,,,,,,
35457,165003620,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/navas/165003620/d?from=list,Sant Andreu,Piso,Used,264000.0,,4.0,1.0,85.0,1.0,,,,,,,
6135,164172738,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164172738/d?from=list,Sants - Montjuïc,Piso,Used,179000.0,,3.0,1.0,80.0,3.0,1.0,,,,,,
755,163003577,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/163003577/d?from=list,Ciutat Vella,Piso,Used,468000.0,,2.0,2.0,80.0,4.0,1.0,,,,,,
6554,164641452,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-jardin-ascensor-parking-piscina/164641452/d?from=list,Sants - Montjuïc,Piso,Used,,,3.0,2.0,75.0,5.0,1.0,,,,,,
38768,165123207,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/165123207/d?from=list,Gràcia,Piso,Used,248000.0,,1.0,1.0,53.0,2.0,1.0,,,,,,
7128,164103811,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-no-amueblado/164103811/d?from=list,Ciutat Vella,Piso,Used,195000.0,,,1.0,66.0,1.0,1.0,,,,,,
9642,164127141,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-parking-jardin-terraza-zona-comunitaria-piscina-piscina/164127141/d?from=list,Gràcia,Dúplex,Used,750000.0,,6.0,3.0,233.0,2.0,,1.0,,,,,
36698,165322081,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/165322081/d?from=list,Sant Martí,Piso,Used,279000.0,,4.0,2.0,110.0,1.0,1.0,,1.0,,,,
3981,164486730,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor-se-aceptan-mascotas/164486730/d?from=list,Nou Barris,Piso,Used,,,3.0,1.0,68.0,1.0,1.0,,,,,,
22526,164813356,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/trastero-ascensor/164813356/d?from=list,Sant Martí,Piso,Used,311000.0,,3.0,1.0,62.0,2.0,1.0,,,,,,
9328,163966504,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina/163966504/d?from=list,Sant Martí,Piso,Used,1656400.0,,4.0,2.0,121.0,,1.0,,,,,,1.0
3231,162846291,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor/162846291/d?from=list,Eixample,Piso,Used,3500000.0,,3.0,3.0,316.0,6.0,,,,,,,
5604,164651160,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/164651160/d?from=list,Eixample,Piso,Used,,,3.0,2.0,92.0,3.0,1.0,,,,,,
9695,162356171,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-patio/162356171/d?from=list,Gràcia,Piso,Used,319000.0,,3.0,3.0,160.0,,1.0,,1.0,,,,
37916,165221630,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/165221630/d?from=list,Sant Martí,Piso,Used,359900.0,,,1.0,106.0,4.0,1.0,,,,,,
37123,165262957,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-ascensor-amueblado-piscina/165262957/d?from=list,Sant Martí,Piso,Used,,,,2.0,200.0,15.0,,,,,,,
22472,162659712,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-terraza-trastero-ascensor/162659712/d?from=list,Eixample,Estudio,Used,,15000.0,,,54.0,1.0,1.0,1.0,,,,,
10108,164189891,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164189891/d?from=list,Sant Martí,Piso,Used,399000.0,,3.0,2.0,94.0,1.0,1.0,,,,,,
5968,163716079,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163716079/d?from=list,Eixample,Piso,Used,650000.0,,,1.0,67.0,9.0,1.0,,,,,,
9303,160616206,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/160616206/d?from=list,Eixample,Piso,Used,,,,3.0,185.0,2.0,1.0,,,,,,
12455,163288866,2022-09-06,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-parking-terraza-ascensor-amueblado-parking-se-aceptan-mascotas/163288866/d?from=list,Horta - Guinardó,Piso,Used,350000.0,,2.0,2.0,97.0,,1.0,,,,,,
7817,164325534,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-patio/164325534/d?from=list,Gràcia,Piso,Used,690000.0,,3.0,3.0,120.0,1.0,,1.0,,,,,
11340,163684372,2022-09-02,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163684372/d?from=list,Horta - Guinardó,Piso,Used,220000.0,,4.0,2.0,182.0,,1.0,,1.0,,,,
23607,163144188,2022-09-19,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/163144188/d?from=list,Sant Martí,Piso,Used,344000.0,,2.0,2.0,85.0,5.0,,,,,,,
1386,164412189,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/164412189/d?from=list,Sants - Montjuïc,Piso,Used,206000.0,,3.0,1.0,71.0,1.0,1.0,,,,,,
10478,164275274,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-amueblado-internet/164275274/d?from=list,Eixample,Piso,Used,,20000.0,1.0,1.0,73.0,5.0,,1.0,,,,,
38046,165041583,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/165041583/d?from=list,Sant Martí,Piso,Used,245000.0,,3.0,1.0,90.0,15.0,1.0,,,,,,
