id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
3295,164328144,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television-internet/164328144/d?from=list,Eixample,Piso,Used,595000,NA,3,2,90,3,1,NA,NA,NA,NA,NA,NA
34176,164837727,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-bordeta/164837727/d?from=list,Sants - Montjuïc,Piso,Used,199000,10000,3,1,67,NA,NA,NA,NA,NA,NA,NA,NA
602,164435927,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor-se-aceptan-mascotas/164435927/d?from=list,Horta - Guinardó,Piso,Used,235000,NA,3,1,75,NA,1,NA,1,NA,NA,NA,NA
23551,164840398,2022-09-19,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164840398/d?from=list,Nou Barris,Piso,Used,228000,NA,3,NA,73,5,1,NA,NA,NA,NA,NA,NA
8524,164434740,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164434740/d?from=list,Sant Martí,Piso,Used,380000,NA,3,1,74,1,1,NA,NA,NA,NA,NA,NA
38337,165094411,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/165094411/d?from=list,Eixample,Piso,Used,340000,NA,2,1,67,4,1,NA,NA,NA,NA,NA,NA
22907,163714813,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor/163714813/d?from=list,Eixample,Piso,Used,830000,NA,3,2,140,8,1,NA,NA,NA,NA,NA,NA
22168,164832409,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion/164832409/d?from=list,Horta - Guinardó,Planta baja,Used,114000,NA,1,NA,65,0,NA,NA,1,NA,NA,NA,NA
291,163218846,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking/163218846/d?from=list,Eixample,Piso,Used,583000,NA,3,2,88,4,1,NA,NA,NA,NA,NA,NA
7878,164187904,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado/164187904/d?from=list,Sants - Montjuïc,Piso,Used,159000,NA,2,1,44,3,NA,NA,NA,1,NA,NA,NA
4926,164317582,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-terraza-ascensor-se-aceptan-mascotas/164317582/d?from=list,Sant Martí,Piso,Used,140000,14000,2,1,127,4,1,NA,NA,NA,NA,NA,NA
2777,163876076,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/la-barceloneta/163876076/d?from=list,Ciutat Vella,Piso,Used,140000,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA
9665,164019475,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza-trastero-amueblado/164019475/d?from=list,Ciutat Vella,Piso,Used,699000,NA,8,4,240,2,NA,1,NA,NA,NA,NA,NA
7730,164611474,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164611474/d?from=list,Horta - Guinardó,Piso,Used,270000,NA,3,1,70,2,1,NA,NA,NA,NA,NA,NA
34705,164985661,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/164985661/d?from=list,Sants - Montjuïc,Piso,Used,226000,NA,2,1,60,1,1,NA,NA,NA,NA,NA,NA
